topic_id,cv_score,cnpmi_score,size,top_words,word_weights
27,0.5152195248055674,0.021475694144095434,103,"prison, officers, prisons, staff, age, prisoners, officer, probation, pension, assaults","0.0632, 0.0319, 0.0283, 0.0120, 0.0118, 0.0111, 0.0103, 0.0090, 0.0078, 0.0075"
28,0.7288119678339103,0.07416551729990449,103,"nhs, health, care, hospital, staff, gps, gp, doctors, patients, hospitals","0.0288, 0.0093, 0.0084, 0.0075, 0.0071, 0.0063, 0.0056, 0.0055, 0.0053, 0.0050"
29,0.3743827498519475,-0.15827778141237078,98,"abortion, ireland, northern, women, law, medical, pills, executive, assembly, abortions","0.0353, 0.0191, 0.0186, 0.0159, 0.0097, 0.0090, 0.0082, 0.0081, 0.0078, 0.0075"
30,0.5326210512387082,-0.036695261649163056,97,"care, social, carers, adult, dementia, people, older, funding, system, paper","0.0369, 0.0253, 0.0125, 0.0087, 0.0085, 0.0064, 0.0061, 0.0059, 0.0056, 0.0055"
31,0.4793342299598706,-0.07248223106266691,96,"water, chalk, streams, environment, river, rivers, abstraction, companies, agency, reservoir","0.0517, 0.0232, 0.0210, 0.0166, 0.0144, 0.0127, 0.0110, 0.0092, 0.0090, 0.0080"
32,0.6809023327028575,0.08680568826178023,92,"youth, young, services, people, workers, work, ncs, provision, local, blackpool","0.0591, 0.0286, 0.0117, 0.0103, 0.0081, 0.0081, 0.0074, 0.0067, 0.0066, 0.0064"
33,0.5646664332012175,-0.03550484912399722,92,"fisheries, aquaculture, fishing, scottish, fish, industry, uk, fishermen, sector, scotland","0.0259, 0.0258, 0.0248, 0.0118, 0.0117, 0.0109, 0.0099, 0.0089, 0.0087, 0.0080"
34,0.3242274516249682,-0.13789179852270614,91,"deal, prime, negotiations, no, he, minister, vote, avoid, house, does","0.0333, 0.0127, 0.0126, 0.0120, 0.0099, 0.0087, 0.0076, 0.0071, 0.0066, 0.0061"
35,0.5999557963705304,0.12116557498174949,90,"coverage, mobile, broadband, network, connectivity, operators, rural, ofcom, notspots, areas","0.0312, 0.0254, 0.0234, 0.0182, 0.0177, 0.0175, 0.0174, 0.0116, 0.0107, 0.0089"
36,0.4104927406120636,-0.05256490231373539,87,"drug, nice, rare, patients, pml, disease, nhs, maraviroc, drugs, treatment","0.0202, 0.0192, 0.0156, 0.0145, 0.0143, 0.0130, 0.0129, 0.0120, 0.0115, 0.0115"
