num_topics,coherence_score,training_time
10,0.6368624277319661,1236.6743893623352
20,0.6441062271024274,1403.6579644680023
30,0.6361892914456049,1339.91655087471
40,0.6703034917484085,1195.2005505561829
50,0.6685843550860371,1281.6685347557068
60,0.6701652217031597,1255.012367963791
70,0.6762008955561654,1312.1499876976013
80,0.6960711066319379,1143.447616815567
90,0.6956450956372897,1062.4252557754517
100,0.7009058739837106,1064.441524028778
110,0.704641266807818,1063.9146702289581
120,0.709995281134243,1106.1166956424713
130,0.7187303201331066,1082.130298614502
140,0.7239115795571405,1081.5406358242035
150,0.7283066488042009,1103.0406925678253
160,0.7362189200313611,1080.6088807582855
170,0.74367449111359,1078.5577449798584
180,0.7459250992523261,1107.5705547332764
190,0.752795295665305,1122.539575099945
