num_topics,coherence_score,training_time
210,0.5345331076468893,139.0466616153717
220,0.5369010231058153,272.52115964889526
230,0.5305361339069149,248.0663754940033
240,0.5305361339069149,286.9206893444061
250,0.5305361339069149,257.65683007240295
260,0.5305361339069149,253.2289321422577
270,0.5305361339069149,307.53399658203125
280,0.5305361339069149,306.94330406188965
290,0.5305361339069149,307.66919803619385
300,0.5305361339069149,304.04817152023315
310,0.5305361339069149,257.0980441570282
320,0.5305361339069149,257.8686010837555
330,0.5305361339069149,252.8608582019806
