year,num_topics,coherence,baseline_coherence,coherence_delta,training_time,coherence_calc_time
2010,470,0.6056592435231812,0.5680562222827718,0.037603021240409484,227.18723106384277,206.22944450378418
2011,542,0.6350355131908598,0.5680562222827718,0.06697929090808807,242.12157011032104,309.7834725379944
2012,495,0.6264558140639277,0.5680562222827718,0.058399591781155946,210.43091821670532,313.52609872817993
2013,507,0.6333838034099267,0.5680562222827718,0.06532758112715498,232.77073407173157,385.40466833114624
2014,518,0.6352312515602673,0.5680562222827718,0.06717502927749552,214.34090948104858,426.6311740875244
2015,472,0.6428053270395649,0.5680562222827718,0.0747491047567932,202.17409944534302,402.8551149368286
2016,535,0.6371879986668569,0.5680562222827718,0.06913177638408519,241.40722274780273,553.3094165325165
2017,558,0.6062606372351541,0.5680562222827718,0.03820441495238236,211.44784998893738,579.1307241916656
2018,628,0.6205987886310723,0.5680562222827718,0.05254256634830057,251.71991086006165,690.2040901184082
2019,538,0.6140761197930232,0.5680562222827718,0.046019897510251484,224.04973602294922,641.2074942588806
