operation,iteration,time
data_loading,1,4.178707838058472
document_preprocessing,1,0.24151039123535156
document_preparation,1,35.63027310371399
model_initialization,1,2.759331464767456
umap_init,1,9.1552734375e-05
bertopic_init,1,0.0008862018585205078
model_fitting,1,49.74232745170593
topic_extraction,1,0.009356021881103516
coherence_calculation,1,117.20521068572998
process_topic_-1,1,0.0005035400390625
individual_topic_coherence,1,52.30392622947693
individual_topic_coherence,2,51.66719722747803
individual_topic_coherence,3,53.63345789909363
individual_topic_coherence,4,54.77245807647705
individual_topic_coherence,5,54.028199434280396
individual_topic_coherence,6,54.381098985672
individual_topic_coherence,7,53.78748440742493
individual_topic_coherence,8,54.09379506111145
individual_topic_coherence,9,54.70085787773132
individual_topic_coherence,10,53.76682114601135
individual_topic_coherence,11,53.15756630897522
individual_topic_coherence,12,52.13012957572937
individual_topic_coherence,13,50.38875484466553
individual_topic_coherence,14,51.6259241104126
individual_topic_coherence,15,52.841721296310425
individual_topic_coherence,16,52.07892918586731
individual_topic_coherence,17,53.569268465042114
individual_topic_coherence,18,52.927889823913574
individual_topic_coherence,19,54.07621955871582
individual_topic_coherence,20,49.9094295501709
process_topic_0,1,52.305548667907715
process_topic_1,1,51.66871237754822
process_topic_2,1,53.63513517379761
process_topic_3,1,54.77408981323242
process_topic_4,1,54.029818534851074
process_topic_5,1,54.38268208503723
process_topic_6,1,53.789132833480835
process_topic_7,1,54.09541296958923
process_topic_8,1,54.70378828048706
process_topic_9,1,53.769071102142334
process_topic_10,1,53.15924334526062
process_topic_11,1,52.13169050216675
process_topic_12,1,50.39037895202637
process_topic_13,1,51.62762379646301
process_topic_14,1,52.843414068222046
process_topic_15,1,52.080522537231445
process_topic_16,1,53.570965051651
process_topic_17,1,52.929579973220825
process_topic_18,1,54.07788825035095
process_topic_19,1,49.91101694107056
topic_analysis,1,1059.881579399109
save_results,1,1059.8867590427399
