num_topics,coherence_score,training_time
10,0.3458436435995448,364.9345796108246
20,0.35608200142369695,340.4591760635376
30,0.3828561869897236,354.7476124763489
40,0.39266605692166034,350.7507061958313
50,0.41932588753697053,356.4940803050995
60,0.43853379958090954,361.70619773864746
70,0.43945979446686323,590.8953182697296
80,0.46485374827318365,668.2810437679291
90,0.4720787916422784,688.7492697238922
100,0.4752357345797917,364.3343141078949
110,0.4846606884861491,366.01049757003784
120,0.5007409891896935,364.60904574394226
130,0.5097660139997293,371.60585594177246
140,0.5250559495801548,367.8519117832184
150,0.5355202676800134,373.9615213871002
160,0.5419512424500216,370.351802110672
170,0.5447954998129227,375.71167755126953
180,0.5479376914607107,378.32965660095215
190,0.5553710620924681,383.1148407459259
200,0.5601944510000642,379.28013253211975
210,0.559015608823706,387.10492396354675
