num_topics,coherence_score,training_time
10,0.35150899223473925,123.4488205909729
20,0.3590053485582582,111.93846392631531
30,0.3563054188299893,111.73485684394836
40,0.3746994031502274,111.2998640537262
50,0.4025993318854797,111.12768721580505
60,0.40527934390985876,113.55612063407898
70,0.42887710731071316,113.50472044944763
80,0.44350368634943865,114.84313225746155
90,0.457548835352441,119.77028203010559
100,0.47493185832924506,119.72685647010803
110,0.4841559223805268,119.34780359268188
120,0.49473846594941884,121.67137289047241
130,0.5009328030805146,121.35564804077148
140,0.5095151779625199,233.2139971256256
150,0.5184989679898331,229.49034881591797
160,0.5219628990042773,223.77005767822266
170,0.5252374576487278,129.69666171073914
180,0.5304268515266032,125.78522205352783
190,0.5303603926809456,126.7940731048584
200,0.5336159039574723,128.1396975517273
210,0.5345331076468893,126.25636911392212
