num_topics,coherence_score,training_time
10,0.462610820634658,88.92541742324829
20,0.5234589769192212,134.93682980537415
30,0.5924195755313306,131.05436897277832
40,0.6631328699903296,181.02361369132996
50,0.681720456324345,133.7759346961975
60,0.6727416101321011,133.27618670463562
70,0.699811121405769,132.017165184021
80,0.7083212005065875,137.069650888443
90,0.7054937069936139,151.56208062171936
100,0.7079894009943697,155.60179567337036
110,0.711649745907947,156.4494960308075
120,0.7233656278503084,199.1841697692871
130,0.7240024813696756,164.07282185554504
140,0.7192981324840924,162.20780777931213
150,0.7151122289293023,170.7459146976471
160,0.7162275687080181,167.69659519195557
170,0.7225928053185917,173.23218178749084
180,0.7255463228788603,206.70716309547424
190,0.7211810929857762,207.57945680618286
200,0.7211810929857762,206.46918416023254
210,0.7211810929857762,206.92770409584045
220,0.7211810929857762,199.17801594734192
230,0.7211810929857762,199.998690366745
240,0.7211810929857762,172.0183880329132
250,0.7211810929857762,173.24287819862366
260,0.7211810929857762,176.3885133266449
270,0.7211810929857762,174.6142134666443
280,0.7211810929857762,177.4328808784485
290,0.7211810929857762,153.69138836860657
300,0.7211810929857762,140.74547123908997
310,0.7211810929857762,148.5818018913269
320,0.7211810929857762,149.28998231887817
330,0.7211810929857762,153.52441334724426
