n_words_removed,coherence_score,num_topics,training_time,frequent_words
0,0.5801236541666551,527,1129.6141345500946,
50,0.5975189141095201,467,1374.7409012317657,"Friend, Government, I, It, The, We, a, about, all, an, and, are, as, at, be, been, but, by, can, do, for, from, has, have, hon., in, is, it, my, not, of, on, our, people, that, the, their, there, they, this, those, to, was, we, what, which, who, will, with, would"
100,0.6109637086743323,451,1523.75204372406,"As, Friend, Government, House, I, In, It, Member, Minister, That, The, We, a, about, all, also, am, an, and, any, are, as, at, be, because, been, being, but, by, can, do, for, from, get, had, has, have, he, his, hon., how, if, important, in, into, is, it, its, just, know, made, make, many, me, more, my, need, no, not, of, on, one, only, or, other, our, out, people, right, should, so, some, such, support, take, than, that, the, their, them, there, they, this, those, to, up, us, very, want, was, we, were, what, when, which, who, will, with, work, would"
150,0.6070031402933729,467,1499.9094672203064,"As, Friend, Gentleman, Government, House, I, If, In, It, Member, Members, Minister, My, Secretary, State, That, The, There, This, UK, We, What, Will, a, about, across, agree, all, also, am, an, and, any, are, as, at, be, because, been, being, but, by, can, come, could, debate, do, does, ensure, for, from, get, give, go, going, good, had, has, have, he, her, his, hon., how, if, important, in, into, is, issue, it, its, just, know, last, local, look, made, make, many, me, more, most, much, must, my, need, new, no, not, now, number, of, on, one, only, or, other, our, out, over, part, people, point, put, right, said, say, see, she, should, so, some, such, support, take, than, that, that,, the, their, them, there, these, they, think, this, those, through, time, to, under, up, us, very, want, was, way, we, were, what, when, where, which, who, why, will, with, work, would"
200,0.6162349312666283,448,1494.906346321106,"As, Does, European, Friend, Gentleman, Government, Government's, He, House, However,, I, If, In, It, Member, Members, Minister, My, Prime, Secretary, State, That, The, There, They, This, UK, We, What, Will, a, able, about, absolutely, across, after, agree, all, already, also, am, an, and, any, are, as, at, back, be, because, been, before, being, between, both, but, by, can, cannot, clear, come, continue, could, country, deal, debate, did, do, does, done, ensure, even, every, first, for, from, further, get, give, given, go, going, good, great, had, has, have, he, help, her, his, hon., hope, how, if, important, in, including, into, is, issue, it, it., its, just, know, last, like, local, look, made, make, making, many, may, me, might, million, more, most, much, must, my, need, new, no, not, now, number, of, on, one, only, or, other, our, out, over, part, people, place, point, public, put, right, said, say, see, set, she, should, so, some, still, such, support, sure, take, than, thank, that, that,, that., the, their, them, there, these, they, think, this, those, through, time, to, two, under, up, us, use, very, want, was, way, we, well, were, what, when, where, whether, which, who, why, will, with, work, working, would, years"
250,0.6221721196328315,436,1448.4854950904846,"A, As, Bill, British, Department, Does, EU, European, Friend, Gentleman, Government, Government's, He, House, However,, I, If, In, It, Lady, Member, Members, Minister, Mr, My, On, Prime, Secretary, State, That, The, There, They, This, UK, United, We, What, When, Will, a, able, about, absolutely, across, after, against, agree, all, already, also, am, an, and, any, are, around, as, at, back, be, because, been, before, being, believe, best, better, between, both, but, by, can, cannot, case, clear, come, continue, could, country, deal, debate, did, do, does, doing, done, down, end, ensure, even, every, fact, first, for, forward, from, funding, further, future, get, give, given, go, going, good, great, had, has, have, having, he, health, heard, help, her, him, his, hon., hope, how, if, impact, important, in, including, into, is, issue, issues, it, it., its, just, know, last, like, local, look, made, make, making, many, may, me, might, million, money, more, most, much, must, my, national, need, needs, new, next, no, not, now, number, of, on, one, only, opportunity, or, other, our, out, over, own, part, particularly, pay, people, place, point, provide, public, put, really, right, said, same, say, see, services, set, she, should, since, so, some, still, such, support, sure, system, take, taken, taking, than, thank, that, that,, that., the, their, them, then, there, these, they, things, think, this, those, through, time, to, two, under, understand, up, us, use, very, want, was, way, we, welcome, well, were, what, when, where, whether, which, who, why, will, with, work, working, would, year, years"
