topic_id,cv_score,size,top_words,word_weights
35,0.253989857532303,765,"give, gentleman, way, hon, will, the, hair, shooting, falling","0.1640, 0.1325, 0.1172, 0.0347, 0.0252, 0.0031, 0.0011, 0.0009, 0.0007"
36,0.7541581281174636,735,"childcare, nursery, nurseries, parents, hours, early, children, free, 30, providers","0.0319, 0.0167, 0.0134, 0.0126, 0.0102, 0.0102, 0.0068, 0.0063, 0.0063, 0.0062"
38,0.28249171148221286,670,"discussions, assessment, eu, leaving, effect, uk, leaves, recent, potential, what","0.0370, 0.0327, 0.0318, 0.0303, 0.0271, 0.0220, 0.0213, 0.0207, 0.0187, 0.0146"
39,0.7962018579354193,654,"autism, autistic, diagnosis, spectrum, learning, awareness, mental, adults, training, disability","0.0468, 0.0219, 0.0095, 0.0085, 0.0050, 0.0044, 0.0044, 0.0042, 0.0040, 0.0039"
40,0.9025438180061824,650,"religious, religion, persecution, freedom, belief, faith","0.0178, 0.0143, 0.0133, 0.0117, 0.0101, 0.0086"
41,0.827235780061641,646,"road, highways, roads, crossing, traffic, congestion, junction, potholes","0.0174, 0.0146, 0.0118, 0.0098, 0.0097, 0.0071, 0.0051, 0.0050"
42,0.5478154431030064,631,"clause, law, exit, amendment, eu, retained, bill, legislation, amendments, powers","0.0079, 0.0078, 0.0073, 0.0069, 0.0064, 0.0055, 0.0053, 0.0051, 0.0051, 0.0044"
43,0.6500702818179853,628,"amendment, amendments, clause, bill, legislation, learned, tabled, clauses, procedure, committee","0.0131, 0.0125, 0.0097, 0.0055, 0.0045, 0.0044, 0.0042, 0.0040, 0.0036, 0.0036"
44,0.9226194753758623,594,"dogs, dog, animal, puppies, pet, puppy, animals, welfare, cruelty, theft","0.0258, 0.0249, 0.0164, 0.0151, 0.0129, 0.0124, 0.0111, 0.0082, 0.0076, 0.0073"
45,0.27313689544621145,582,"lady, give, way, hon, will, the, game, carrot, silly, imply","0.1835, 0.1550, 0.1110, 0.0332, 0.0239, 0.0030, 0.0019, 0.0018, 0.0017, 0.0015"
46,0.9060542875593331,581,"landlords, tenants, landlord, agents, letting, rented, tenant, fees, rent, private","0.0230, 0.0204, 0.0110, 0.0109, 0.0107, 0.0107, 0.0098, 0.0091, 0.0077, 0.0073"
47,0.6431242613887395,580,"armed, forces, personnel, army, recruitment, pay, defence, flexible, retention, reserve","0.0230, 0.0205, 0.0119, 0.0112, 0.0076, 0.0052, 0.0046, 0.0044, 0.0042, 0.0039"
48,0.7494084506567362,575,"children, foster, care, social, child, carers, kinship, fostering, family, families","0.0152, 0.0116, 0.0089, 0.0075, 0.0072, 0.0064, 0.0059, 0.0053, 0.0050, 0.0048"
49,0.6176627950878201,562,"debt, deficit, chancellor, fiscal, budget, borrowing, forecast, growth, economy","0.0153, 0.0107, 0.0103, 0.0087, 0.0082, 0.0076, 0.0057, 0.0055, 0.0053"
50,0.8951104487966597,554,"nursing, nurses, nurse, bursary, students, student, training, bursaries, mature","0.0315, 0.0294, 0.0131, 0.0126, 0.0108, 0.0107, 0.0072, 0.0071, 0.0059"
51,0.6725080374746536,554,"women, female, men, gender, equality, woman, representation, parliament, male","0.0215, 0.0107, 0.0089, 0.0061, 0.0060, 0.0053, 0.0045, 0.0044, 0.0038"
52,0.7049463584422152,542,"hospital, patients, hospitals, care, services, trust, centre","0.0149, 0.0058, 0.0053, 0.0053, 0.0043, 0.0042, 0.0042"
53,0.688878151984736,519,"trans, gay, transgender, gender, equality, homosexual, merchant, act, rights","0.0125, 0.0120, 0.0110, 0.0086, 0.0069, 0.0060, 0.0060, 0.0046, 0.0044"
54,0.9061119707110198,511,"ivory, elephants, wildlife, species, elephant, ban, poaching, illegal, trade, endangered","0.0393, 0.0205, 0.0141, 0.0120, 0.0118, 0.0103, 0.0092, 0.0088, 0.0082, 0.0051"
55,0.8073160570701828,503,"domestic, violence, abuse, refuges, women, victims, refuge, abusive, men, partner","0.0294, 0.0209, 0.0196, 0.0150, 0.0113, 0.0103, 0.0098, 0.0041, 0.0040, 0.0040"
56,0.2343378783152566,500,"give, way, friend, my, hon, will, intervene, tempt, briefly, restless","0.1578, 0.1128, 0.0691, 0.0374, 0.0340, 0.0244, 0.0043, 0.0043, 0.0031, 0.0025"
57,0.8218763613268821,499,"apprenticeships, apprenticeship, apprentices, levy, skills, employers, training, apprentice, starts, young","0.0421, 0.0293, 0.0202, 0.0123, 0.0084, 0.0083, 0.0068, 0.0063, 0.0051, 0.0048"
58,0.8990501845594929,497,"airport, airports, runway, expansion, regional, flights, connectivity, slots","0.0232, 0.0195, 0.0152, 0.0141, 0.0073, 0.0072, 0.0061, 0.0056"
59,0.8709501335430672,492,"pharmacies, pharmacy, pharmacists, community, dispensing, pharmacist, services","0.0502, 0.0355, 0.0195, 0.0117, 0.0072, 0.0066, 0.0055"
60,0.7481975393230655,491,"charter, licence, fee, editorial, broadcasting, news, radio, board","0.0106, 0.0103, 0.0101, 0.0056, 0.0049, 0.0042, 0.0042, 0.0041"
61,0.5082205399940319,481,"generation, immigration, home, illegal, here, hostile, office, citizens","0.0137, 0.0099, 0.0085, 0.0060, 0.0054, 0.0051, 0.0048, 0.0045"
62,0.757451799575611,474,"pubs, pub, beer, code, adjudicator, tenants, duty, pubcos, alcohol","0.0353, 0.0269, 0.0179, 0.0134, 0.0124, 0.0097, 0.0060, 0.0057, 0.0054"
63,0.6838131390309059,465,"science, research, innovation, scientific, horizon, researchers, scientists, universities, collaboration, sciences","0.0279, 0.0176, 0.0117, 0.0077, 0.0062, 0.0058, 0.0058, 0.0055, 0.0051, 0.0049"
64,0.8742427234997425,462,"flood, flooding, floods, defences, flooded, catchment, insurance, water, resilience, river","0.0399, 0.0219, 0.0132, 0.0118, 0.0089, 0.0068, 0.0065, 0.0063, 0.0062, 0.0061"
65,0.8534074238111456,461,"electoral, registration, register, voter, polling, vote, voters, fraud, postal","0.0286, 0.0208, 0.0175, 0.0162, 0.0106, 0.0098, 0.0094, 0.0093, 0.0091"
66,0.7813130176615111,460,"fire, rescue, firefighters, service, services, police, fires, emergency","0.0456, 0.0196, 0.0195, 0.0107, 0.0069, 0.0065, 0.0055, 0.0053"
67,0.9257842958626844,450,"plastic, plastics, recycling, waste, packaging, microbeads, bottles, marine, recycled, cups","0.0438, 0.0181, 0.0160, 0.0144, 0.0142, 0.0099, 0.0093, 0.0085, 0.0080, 0.0065"
68,0.8508433702415422,449,"obesity, sugar, drinks, childhood, obese, food, sugary, advertising, children, milk","0.0300, 0.0233, 0.0192, 0.0127, 0.0100, 0.0077, 0.0073, 0.0070, 0.0068, 0.0065"
69,0.49430279697236945,446,"speaker, his, he, you, him, member, thank, house","0.0054, 0.0053, 0.0044, 0.0040, 0.0040, 0.0040, 0.0035, 0.0035"
70,0.7261718694903172,442,"doctors, junior, contract, weekends, patients, seven, strike, doctor","0.0336, 0.0314, 0.0177, 0.0087, 0.0082, 0.0082, 0.0067, 0.0062"
71,0.6837836551200653,437,"charities, charity, donations, gift, trustees, charitable, fundraising, commission, small, aid","0.0328, 0.0235, 0.0129, 0.0121, 0.0099, 0.0086, 0.0083, 0.0063, 0.0057, 0.0057"
72,0.5301752580323771,437,"assembly, devolution, powers, bill, jurisdiction, devolved, reserved, constitutional","0.0187, 0.0088, 0.0074, 0.0060, 0.0056, 0.0054, 0.0047, 0.0045"
73,0.8951249490350958,430,"bank, branch, banking, branches, banks, closures, cash","0.0219, 0.0202, 0.0199, 0.0169, 0.0165, 0.0130, 0.0094"
74,0.6766581749941583,428,"soldiers, northern, terrorists, forces, troubles, limitations, veterans, armed, investigations","0.0093, 0.0079, 0.0073, 0.0067, 0.0065, 0.0060, 0.0058, 0.0057, 0.0054"
75,0.4911304057867466,406,"post, office, offices, mail, branches, crown, royal, postal, network, postmasters","0.0480, 0.0263, 0.0210, 0.0163, 0.0090, 0.0080, 0.0077, 0.0061, 0.0057, 0.0055"
76,0.5070414613043418,400,"backstop, agreement, withdrawal, arrangement, relationship, northern, border, temporary, attorney","0.0544, 0.0083, 0.0079, 0.0063, 0.0062, 0.0059, 0.0055, 0.0053, 0.0050"
77,0.9494793395767245,400,"gambling, betting, terminals, machines, odds, fixed, stake, bookmakers, shops","0.0527, 0.0331, 0.0174, 0.0160, 0.0151, 0.0120, 0.0104, 0.0099, 0.0098"
78,0.6726164189538767,397,"route, rail, phase, line, speed, project, capacity, station","0.0082, 0.0082, 0.0079, 0.0073, 0.0065, 0.0062, 0.0055, 0.0053"
79,0.7736798682873351,394,"defence, spending, armed, capability, threats, forces, capabilities, equipment","0.0331, 0.0083, 0.0072, 0.0071, 0.0071, 0.0069, 0.0065, 0.0064"
80,0.8791848327779747,374,"war, battle, graves, memorial, memorials, centenary, men, commemorate","0.0216, 0.0097, 0.0086, 0.0073, 0.0067, 0.0066, 0.0061, 0.0051"
81,0.9075690943946417,371,"smoking, tobacco, cigarettes, smokers, smoke, vaping, quit, control, cessation, products","0.0460, 0.0346, 0.0195, 0.0128, 0.0124, 0.0121, 0.0085, 0.0070, 0.0066, 0.0065"
82,0.3173887206613707,364,"give, gentleman, way, hon, will, the, equalisation, quickly, record, matter","0.1643, 0.1328, 0.1175, 0.0348, 0.0252, 0.0031, 0.0024, 0.0011, 0.0008, 0.0006"
83,0.3423299269477607,360,"give, way, then, progress, once, briefly, time, happily, conscious, will","0.1012, 0.0740, 0.0288, 0.0271, 0.0250, 0.0226, 0.0197, 0.0170, 0.0157, 0.0144"
84,0.594491056525035,356,"press, newspapers, ipso, journalists, hacking, inquiry, section, media, newspaper","0.0229, 0.0104, 0.0083, 0.0081, 0.0072, 0.0066, 0.0060, 0.0056, 0.0054"
85,0.7199398839106234,355,"defence, alliance, allies, summit, security, states","0.0141, 0.0115, 0.0090, 0.0085, 0.0062, 0.0061"
86,0.8086154878267091,352,"automotive, plant, car, industry, manufacturing, motor, chain","0.0244, 0.0106, 0.0089, 0.0088, 0.0080, 0.0078, 0.0065"
87,0.6997359563200665,350,"wage, living, minimum, national, workers, pay, 25, employers, paid","0.0499, 0.0229, 0.0195, 0.0087, 0.0081, 0.0077, 0.0071, 0.0069, 0.0065"
88,0.7827443897050369,348,"slavery, modern, trafficking, trafficked, victims, exploitation, advocates, human, children, traffickers","0.0412, 0.0215, 0.0191, 0.0105, 0.0097, 0.0064, 0.0053, 0.0052, 0.0046, 0.0043"
89,0.6926793157190039,345,"bulk, powers, privacy, warrants, bill, data, communications, investigatory, intelligence, judicial","0.0159, 0.0111, 0.0104, 0.0092, 0.0074, 0.0072, 0.0068, 0.0065, 0.0065, 0.0060"
90,0.8444508795635498,343,"nuclear, reactors, energy, decommissioning, reactor, power, modular","0.0477, 0.0098, 0.0097, 0.0074, 0.0073, 0.0071, 0.0061"
91,0.8038351189464389,342,"jobcentre, jobcentres, closures, claimants, closure, estate, staff","0.0282, 0.0251, 0.0096, 0.0061, 0.0060, 0.0045, 0.0045"
92,0.8169062681516526,342,"war, 2003, weapons, invasion","0.0114, 0.0066, 0.0063, 0.0057"
93,0.8478758392725411,336,"energy, customers, cap, consumers, price, switching, market, tariffs, variable","0.0234, 0.0175, 0.0171, 0.0119, 0.0118, 0.0107, 0.0106, 0.0102, 0.0086"
94,0.6869950638435668,330,"harassment, complaints, bullying, staff, sexual, grievance, behaviour, culture, allegations, leader","0.0166, 0.0100, 0.0093, 0.0081, 0.0080, 0.0066, 0.0060, 0.0057, 0.0056, 0.0056"
95,0.5504550732743275,328,"pay, sector, cap, public, workers, servants, rise, civil, bodies, wages","0.0233, 0.0178, 0.0149, 0.0146, 0.0126, 0.0066, 0.0065, 0.0042, 0.0039, 0.0036"
96,0.856578373956691,327,"carbon, climate, emissions, capture, storage, change, energy, decarbonisation","0.0221, 0.0214, 0.0128, 0.0104, 0.0101, 0.0085, 0.0067, 0.0046"
97,0.8215010500955635,327,"bus, buses, operators, transport, services, concessionary, fares, passengers, franchising, authorities","0.0536, 0.0175, 0.0106, 0.0094, 0.0081, 0.0078, 0.0077, 0.0070, 0.0069, 0.0059"
98,0.59384513494708,311,"students, universities, university, international, study, higher, migration, student, eu","0.0298, 0.0191, 0.0104, 0.0098, 0.0065, 0.0051, 0.0051, 0.0050, 0.0049"
99,0.8249880787587978,309,"farmers, farming, agricultural, agriculture, food, farm, production, environment, farms, payments","0.0285, 0.0177, 0.0141, 0.0139, 0.0130, 0.0070, 0.0062, 0.0057, 0.0057, 0.0048"
100,0.7669898009538209,308,"poverty, child, income, children, households, workless, chances, relative, worklessness, living","0.0499, 0.0174, 0.0091, 0.0090, 0.0082, 0.0077, 0.0075, 0.0060, 0.0055, 0.0044"
101,0.799409108983562,304,"parking, car, charges, park, town, parks, fines, motorists, private","0.0493, 0.0186, 0.0157, 0.0103, 0.0096, 0.0064, 0.0061, 0.0056, 0.0055"
102,0.6771018212365891,302,"inquiry, inquest, families, inquests, legal, truth, victims, justice","0.0128, 0.0110, 0.0109, 0.0089, 0.0071, 0.0063, 0.0063, 0.0060"
103,0.4503657098173638,294,"arts, culture, city, theatre, bid, cultural, hull, stoke","0.0262, 0.0240, 0.0208, 0.0121, 0.0111, 0.0098, 0.0077, 0.0073"
104,0.32182978911918436,288,"give, way, gentleman, lady, hon, friend, happily, my, right, will","0.0771, 0.0583, 0.0256, 0.0217, 0.0180, 0.0151, 0.0103, 0.0092, 0.0084, 0.0068"
105,0.7809723296818697,287,"veterans, covenant, armed, forces, personnel, mental, service, military, charities, veteran","0.0373, 0.0164, 0.0137, 0.0120, 0.0085, 0.0067, 0.0061, 0.0051, 0.0051, 0.0043"
106,0.8710401681441177,286,"tidal, lagoon, lagoons, bay, project, energy, power","0.0493, 0.0400, 0.0199, 0.0169, 0.0136, 0.0130, 0.0073"
107,0.40997353045184876,284,"bills, private, resolution, resolutions, bill, members, money, reading, session","0.0293, 0.0176, 0.0118, 0.0103, 0.0093, 0.0077, 0.0075, 0.0065, 0.0062"
108,0.34428561516029765,282,"friend, makes, point, agree, my, hon, absolutely, thank, intervention, completely","0.0317, 0.0273, 0.0223, 0.0192, 0.0179, 0.0178, 0.0134, 0.0130, 0.0122, 0.0106"
109,0.613883566847022,282,"travellers, traveller, encampments, unauthorised, sites, illegal, settled, community","0.0263, 0.0257, 0.0199, 0.0127, 0.0119, 0.0078, 0.0063, 0.0058"
110,0.632550620958747,278,"detention, detained, torture, immigration, wood, detainees, vulnerable, asylum","0.0485, 0.0162, 0.0144, 0.0134, 0.0114, 0.0101, 0.0075, 0.0065"
111,0.8014560289520434,269,"bank, banks, banking, financial, businesses","0.0125, 0.0119, 0.0109, 0.0060, 0.0059"
112,0.4659982145695284,265,"financial, services, passporting, clearing, equivalence, sector, eu, regulatory, merger","0.0195, 0.0102, 0.0092, 0.0089, 0.0067, 0.0057, 0.0050, 0.0047, 0.0047"
113,0.40733976880431355,263,"departmental, responsibilities, statement, make, his, if, he, will, on","0.3852, 0.2958, 0.1647, 0.0642, 0.0606, 0.0488, 0.0372, 0.0160, 0.0132"
114,0.8024796949465174,261,"offenders, foreign, deportation, deported, deport, nationals, criminals, prisoner, prisons, prisoners","0.0189, 0.0172, 0.0151, 0.0097, 0.0092, 0.0092, 0.0085, 0.0084, 0.0083, 0.0078"
115,0.6215539141602263,260,"article, 50, trigger, revoke, triggering, triggered, revoking, invoking, revoked","0.0444, 0.0343, 0.0110, 0.0092, 0.0086, 0.0063, 0.0057, 0.0053, 0.0047"
116,0.8631043118540592,259,"fireworks, firework, displays, animals, bonfire, noise, pets, night, sale, display","0.0684, 0.0142, 0.0122, 0.0088, 0.0079, 0.0075, 0.0074, 0.0057, 0.0057, 0.0056"
117,0.656815926141943,257,"abortion, abortions, women, northern, woman, pregnancy, rights, 1861, pills","0.0452, 0.0128, 0.0120, 0.0111, 0.0064, 0.0049, 0.0046, 0.0043, 0.0040"
118,0.8056625064161429,256,"oil, gas, industry, sea, north, decommissioning, barrels, exploration","0.0441, 0.0325, 0.0146, 0.0110, 0.0068, 0.0064, 0.0062, 0.0055"
119,0.5464429813149825,250,"contracts, company, collapse, capita, suppliers, outsourcing, receiver, public, profit","0.0184, 0.0104, 0.0097, 0.0086, 0.0081, 0.0073, 0.0072, 0.0063, 0.0061"
120,0.5522418484390724,248,"data, protection, adequacy, digital, privacy, personal, commissioner, information, bill","0.0386, 0.0157, 0.0110, 0.0071, 0.0053, 0.0050, 0.0043, 0.0042, 0.0042"
121,0.24780845637101576,246,"give, gentleman, way, right, hon, will, soul, intervening, resist, goodness","0.1376, 0.1131, 0.0992, 0.0605, 0.0296, 0.0212, 0.0035, 0.0029, 0.0028, 0.0028"
122,0.8616389283219394,245,"leasehold, leaseholders, freehold, lease, commonhold, ground, developers, leases, property, properties","0.0322, 0.0183, 0.0154, 0.0094, 0.0092, 0.0084, 0.0074, 0.0074, 0.0073, 0.0064"
123,0.865531979524952,243,"claims, whiplash, injury, insurance, injuries, compensation, premiums, fraudulent, damages, limit","0.0334, 0.0268, 0.0182, 0.0132, 0.0124, 0.0102, 0.0091, 0.0081, 0.0077, 0.0075"
124,0.5558958032665342,241,"aid, development, international, spent, poverty, spending, money, countries","0.0246, 0.0128, 0.0062, 0.0055, 0.0053, 0.0053, 0.0052, 0.0051"
125,0.4505067864185023,239,"lords, peers, hereditary, reform, chamber, house, elected, unelected, lord, size","0.0378, 0.0187, 0.0136, 0.0089, 0.0083, 0.0082, 0.0076, 0.0058, 0.0058, 0.0057"
126,0.6271791583088774,235,"workers, rights, employment, unions, trade, union, protections, directive, legislation, workplace","0.0217, 0.0186, 0.0087, 0.0087, 0.0064, 0.0060, 0.0057, 0.0056, 0.0048, 0.0042"
127,0.8561461307284877,234,"smart, meters, meter, energy, consumers, roll, installed, suppliers","0.0553, 0.0542, 0.0310, 0.0157, 0.0138, 0.0130, 0.0099, 0.0095"
128,0.8910694436157721,232,"electrical, product, tumble, safety, goods, counterfeit, faulty, dryers, recall","0.0260, 0.0192, 0.0147, 0.0141, 0.0139, 0.0128, 0.0119, 0.0107, 0.0100"
129,0.8833116960376204,228,"baby, stillbirth, bereavement, neonatal, loss, stillbirths, babies, parents, miscarriage, maternity","0.0186, 0.0179, 0.0147, 0.0129, 0.0123, 0.0118, 0.0109, 0.0083, 0.0070, 0.0059"
130,0.7219941426119125,225,"victims, victim, justice, criminal, witnesses, sexual, code, rape, crime, trial","0.0398, 0.0126, 0.0087, 0.0082, 0.0081, 0.0079, 0.0078, 0.0078, 0.0074, 0.0045"
131,0.5668626794151304,224,"gender, gap, pay, women, men, reporting, employers, companies, data","0.0380, 0.0321, 0.0185, 0.0171, 0.0091, 0.0086, 0.0072, 0.0068, 0.0055"
132,0.321942236155795,221,"ask, statement, secretary, make, state, commonwealth, affairs, if, foreign, home","0.0589, 0.0554, 0.0214, 0.0212, 0.0185, 0.0145, 0.0135, 0.0123, 0.0114, 0.0090"
133,0.7217919912369456,218,"deaf, hearing, language, deafness, sign, loss, children, aids","0.0365, 0.0235, 0.0131, 0.0104, 0.0096, 0.0085, 0.0075, 0.0067"
134,0.6051899618193717,216,"warrant, arrest, extradition, operation, justice, co, criminal","0.0286, 0.0278, 0.0095, 0.0074, 0.0073, 0.0070, 0.0063"
135,0.6998671593289372,215,"nuclear, safeguards, isotopes, safeguarding, radioisotopes, membership, industry","0.0360, 0.0121, 0.0089, 0.0077, 0.0064, 0.0064, 0.0051"
136,0.5297097355141128,214,"charter, rights, law, fundamental, human, court, eu, protection, principles, learned","0.0449, 0.0242, 0.0126, 0.0113, 0.0077, 0.0049, 0.0046, 0.0044, 0.0044, 0.0042"
137,0.25894347187876887,212,"assent, indicated, consented, forthwith, nod, question, accepted, proposed, agreed, receive","2.0448, 1.5087, 0.0163, 0.0149, 0.0143, 0.0090, 0.0069, 0.0053, 0.0052, 0.0050"
