operation,total,mean,min,max,count
data_loading,4.178707838058472,4.178707838058472,4.178707838058472,4.178707838058472,1
document_preprocessing,0.24151039123535156,0.24151039123535156,0.24151039123535156,0.24151039123535156,1
document_preparation,35.63027310371399,35.63027310371399,35.63027310371399,35.63027310371399,1
model_initialization,2.759331464767456,2.759331464767456,2.759331464767456,2.759331464767456,1
umap_init,9.1552734375e-05,9.1552734375e-05,9.1552734375e-05,9.1552734375e-05,1
bertopic_init,0.0008862018585205078,0.0008862018585205078,0.0008862018585205078,0.0008862018585205078,1
model_fitting,49.74232745170593,49.74232745170593,49.74232745170593,49.74232745170593,1
topic_extraction,0.009356021881103516,0.009356021881103516,0.009356021881103516,0.009356021881103516,1
coherence_calculation,117.20521068572998,117.20521068572998,117.20521068572998,117.20521068572998,1
process_topic_-1,0.0005035400390625,0.0005035400390625,0.0005035400390625,0.0005035400390625,1
individual_topic_coherence,1059.84112906456,52.992056453227995,49.9094295501709,54.77245807647705,20
process_topic_0,52.305548667907715,52.305548667907715,52.305548667907715,52.305548667907715,1
process_topic_1,51.66871237754822,51.66871237754822,51.66871237754822,51.66871237754822,1
process_topic_2,53.63513517379761,53.63513517379761,53.63513517379761,53.63513517379761,1
process_topic_3,54.77408981323242,54.77408981323242,54.77408981323242,54.77408981323242,1
process_topic_4,54.029818534851074,54.029818534851074,54.029818534851074,54.029818534851074,1
process_topic_5,54.38268208503723,54.38268208503723,54.38268208503723,54.38268208503723,1
process_topic_6,53.789132833480835,53.789132833480835,53.789132833480835,53.789132833480835,1
process_topic_7,54.09541296958923,54.09541296958923,54.09541296958923,54.09541296958923,1
process_topic_8,54.70378828048706,54.70378828048706,54.70378828048706,54.70378828048706,1
process_topic_9,53.769071102142334,53.769071102142334,53.769071102142334,53.769071102142334,1
process_topic_10,53.15924334526062,53.15924334526062,53.15924334526062,53.15924334526062,1
process_topic_11,52.13169050216675,52.13169050216675,52.13169050216675,52.13169050216675,1
process_topic_12,50.39037895202637,50.39037895202637,50.39037895202637,50.39037895202637,1
process_topic_13,51.62762379646301,51.62762379646301,51.62762379646301,51.62762379646301,1
process_topic_14,52.843414068222046,52.843414068222046,52.843414068222046,52.843414068222046,1
process_topic_15,52.080522537231445,52.080522537231445,52.080522537231445,52.080522537231445,1
process_topic_16,53.570965051651,53.570965051651,53.570965051651,53.570965051651,1
process_topic_17,52.929579973220825,52.929579973220825,52.929579973220825,52.929579973220825,1
process_topic_18,54.07788825035095,54.07788825035095,54.07788825035095,54.07788825035095,1
process_topic_19,49.91101694107056,49.91101694107056,49.91101694107056,49.91101694107056,1
topic_analysis,1059.881579399109,1059.881579399109,1059.881579399109,1059.881579399109,1
save_results,1059.8867590427399,1059.8867590427399,1059.8867590427399,1059.8867590427399,1
